sekunde,queue_tiefe,gespeichert
0,0,0
6,44,1619
13,293,6619
20,490,13619
27,249,24658
34,418,40158
43,77,50658
50,162,61476
56,62,72806
63,55,83468
69,216,94464
76,0,99960
