sekunde,queue_tiefe,gespeichert
0,0,0
6,479,4500
13,327,14000
19,327,24824
26,387,35820
33,264,45982
42,398,52482
49,491,61982
56,131,72982
62,506,83625
69,17,95125
76,0,99951
